pass,coremark_score,coremark_per_mhz,iterations,time_secs,status
default<O0>,6403.912208,0,110000,17177,ok
default<O1>,6174.918603,0,110000,17814,ok
default<O2>,6108.735492,0,110000,18007,ok
default<O3>,6125.744835,0,110000,17957,ok
default<Os>,6190.208216,0,110000,17770,ok
default<Oz>,6112.469438,0,110000,17996,ok
always-inline,6349.206349,0,110000,17325,ok
attributor,6317.845040,0,110000,17411,ok
attributor-light,6343.713956,0,110000,17340,ok
called-value-propagation,6390.890077,0,110000,17212,ok
constmerge,6278.180469,0,110000,17521,ok
deadargelim,6340.423079,0,110000,17349,ok
elim-avail-extern,6266.735031,0,110000,17553,ok
globalopt,6342.250923,0,110000,17344,ok
globalsplit,6350.672594,0,110000,17321,ok
hotcoldsplit,6396.092569,0,110000,17198,ok
inferattrs,6415.116347,0,110000,17147,ok
inliner-wrapper,6346.642049,0,110000,17332,ok
iroutliner,6368.320500,0,110000,17273,ok
mergefunc,6378.660481,0,110000,17245,ok
openmp-opt,6300.114548,0,110000,17460,ok
openmp-opt-postlink,6387.179189,0,110000,17222,ok
partial-inliner,6318.207926,0,110000,17410,ok
recompute-globalsaa,6353.607116,0,110000,17313,ok
rpo-function-attrs,6429.364662,0,110000,17109,ok
strip,6394.605278,0,110000,17202,ok
strip-dead-debug-info,6211.530860,0,110000,17709,ok
strip-dead-prototypes,6373.486297,0,110000,17259,ok
strip-debug-declare,6360.219717,0,110000,17295,ok
strip-nondebug,6384.584131,0,110000,17229,ok
strip-nonlinetable-debuginfo,6380.880562,0,110000,17239,ok
argpromotion,6376.441945,0,110000,17251,ok
attributor-cgscc,6430.492225,0,110000,17106,ok
attributor-light-cgscc,6540.222368,0,110000,16819,ok
openmp-opt-cgscc,6370.533387,0,110000,17267,ok
aa-eval,6420.358373,0,110000,17133,ok
adce,6393.490264,0,110000,17205,ok
add-discriminators,6395.348837,0,110000,17200,ok
aggressive-instcombine,6455.399061,0,110000,17040,ok
alignment-from-assumptions,6516.587678,0,110000,16880,ok
assume-builder,6436.889227,0,110000,17089,ok
assume-simplify,6496.190870,0,110000,16933,ok
bdce,6407.269338,0,110000,17168,ok
break-crit-edges,6373.117034,0,110000,17260,ok
callsite-splitting,6357.279085,0,110000,17303,ok
chr,6453.126833,0,110000,17046,ok
consthoist,6300.836293,0,110000,17458,ok
constraint-elimination,6351.772722,0,110000,17318,ok
correlated-propagation,6448.587173,0,110000,17058,ok
dce,6340.788564,0,110000,17348,ok
dfa-jump-threading,6349.206349,0,110000,17325,ok
div-rem-pairs,6353.240152,0,110000,17314,ok
dse,6337.500720,0,110000,17357,ok
expand-large-div-rem,6334.945865,0,110000,17364,ok
expand-large-fp-convert,6302.280280,0,110000,17454,ok
expand-memcmp,6365.004050,0,110000,17282,ok
extra-vector-passes,6373.855603,0,110000,17258,ok
fix-irreducible,6377.920798,0,110000,17247,ok
flatten-cfg,6405.403832,0,110000,17173,ok
float2int,6350.672594,0,110000,17321,ok
guard-widening,6366.109150,0,110000,17279,ok
gvn-hoist,6351.772722,0,110000,17318,ok
gvn-sink,6369.057958,0,110000,17271,ok
indirectbr-expand,6368.689208,0,110000,17272,ok
infer-address-spaces,6330.206595,0,110000,17377,ok
infer-alignment,6342.616618,0,110000,17343,ok
inject-tli-mappings,6278.180469,0,110000,17521,ok
instsimplify,6377.181286,0,110000,17249,ok
irce,6363.899335,0,110000,17285,ok
jump-threading,6397.580551,0,110000,17194,ok
jump-table-to-switch,6370.902351,0,110000,17266,ok
lcssa,6341.885270,0,110000,17345,ok
libcalls-shrinkwrap,6377.551020,0,110000,17248,ok
lint,6381.620932,0,110000,17237,ok
load-store-vectorizer,6366.477602,0,110000,17278,ok
loop-data-prefetch,6380.880562,0,110000,17239,ok
loop-distribute,6374.224952,0,110000,17257,ok
loop-fusion,6363.899335,0,110000,17285,ok
loop-load-elim,6144.908106,0,110000,17901,ok
loop-simplify,6278.538813,0,110000,17520,ok
loop-sink,6330.570902,0,110000,17376,ok
loop-versioning,6383.843074,0,110000,17231,ok
lower-atomic,6398.324802,0,110000,17192,ok
lower-constant-intrinsics,6448.587173,0,110000,17058,ok
lower-expect,6302.280280,0,110000,17454,ok
lower-guard-intrinsic,6397.208491,0,110000,17195,ok
lower-invoke,6340.788564,0,110000,17348,ok
lower-switch,6380.880562,0,110000,17239,ok
lower-widenable-condition,6418.859777,0,110000,17137,ok
make-guards-explicit,6359.484304,0,110000,17297,ok
mem2reg,6365.004050,0,110000,17282,ok
memcpyopt,6366.109150,0,110000,17279,ok
mergeicmps,6393.861893,0,110000,17204,ok
mergereturn,6350.672594,0,110000,17321,ok
move-auto-init,6355.075394,0,110000,17309,ok
nary-reassociate,6349.206349,0,110000,17325,ok
newgvn,6404.285049,0,110000,17176,ok
normalize,6349.939387,0,110000,17323,ok
pa-eval,6375.702776,0,110000,17253,ok
partially-inline-libcalls,6352.139516,0,110000,17317,ok
pgo-memop-opt,6347.740781,0,110000,17329,ok
reassociate,6256.754451,0,110000,17581,ok
redundant-dbg-inst-elim,6297.589741,0,110000,17467,ok
reg2mem,6349.572847,0,110000,17324,ok
sandbox-vectorizer,6301.919221,0,110000,17455,ok
sccp,6369.426752,0,110000,17270,ok
select-optimize,6342.982355,0,110000,17342,ok
separate-const-offset-from-gep,6328.021630,0,110000,17383,ok
sink,6370.533387,0,110000,17267,ok
slp-vectorizer,6367.214633,0,110000,17276,ok
slsr,6422.982600,0,110000,17126,ok
tailcallelim,6376.072339,0,110000,17252,ok
transform-warning,6383.472609,0,110000,17232,ok
unify-loop-exits,6420.733131,0,110000,17132,ok
vector-combine,6379.770328,0,110000,17242,ok
loop-flatten,6387.921022,0,110000,17220,ok
loop-interchange,6337.865868,0,110000,17356,ok
loop-unroll-and-jam,6363.531181,0,110000,17286,ok
